,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
177,0.895,0.884016,0.87018,0.988841,0.747086,0.85113,0.779153,16981,115,3450,10191,0.006727,0.252914,0.993273,30737,0.443797,0.335296,69115.0
178,0.9,0.882259,0.868163,0.98926,0.742761,0.84847,0.776112,16986,110,3509,10132,0.006434,0.257239,0.993566,30737,0.443797,0.333214,70290.0
179,0.905,0.880275,0.865876,0.989869,0.737776,0.84543,0.772716,16993,103,3577,10064,0.006025,0.262224,0.993975,30737,0.443797,0.330774,71643.0
180,0.91,0.87868,0.863998,0.990887,0.733377,0.842903,0.770122,17004,92,3637,10004,0.005381,0.266623,0.994619,30737,0.443797,0.328464,72832.0
181,0.915,0.87624,0.861175,0.991801,0.727146,0.8391,0.766009,17014,82,3722,9919,0.004796,0.272854,0.995204,30737,0.443797,0.325373,74522.0
182,0.92,0.874191,0.858777,0.992939,0.721648,0.835831,0.762656,17026,70,3797,9844,0.004095,0.278352,0.995905,30737,0.443797,0.322543,76010.0
183,0.925,0.872109,0.856394,0.993394,0.71659,0.832588,0.759086,17031,65,3866,9775,0.003802,0.28341,0.996198,30737,0.443797,0.320135,77385.0
184,0.93,0.869701,0.853637,0.993951,0.710725,0.82881,0.754975,17037,59,3946,9695,0.003451,0.289275,0.996549,30737,0.443797,0.317337,78979.0
185,0.935,0.866838,0.850397,0.994101,0.704127,0.824357,0.749968,17039,57,4036,9605,0.003334,0.295873,0.996666,30737,0.443797,0.314344,80777.0
186,0.94,0.863975,0.847127,0.994666,0.697236,0.819808,0.745079,17045,51,4130,9511,0.002983,0.302764,0.997017,30737,0.443797,0.311091,82651.0
187,0.945,0.861405,0.844194,0.995144,0.691078,0.815696,0.740691,17050,46,4214,9427,0.002691,0.308922,0.997309,30737,0.443797,0.308195,84326.0
188,0.95,0.858054,0.840389,0.995514,0.683234,0.810329,0.734917,17054,42,4321,9320,0.002457,0.316766,0.997543,30737,0.443797,0.304584,86462.0
189,0.955,0.854215,0.836027,0.995993,0.674217,0.804109,0.728332,17059,37,4444,9197,0.002164,0.325783,0.997836,30737,0.443797,0.30042,88917.0
190,0.96,0.850538,0.831877,0.996052,0.66586,0.798155,0.721932,17060,36,4558,9083,0.002106,0.33414,0.997894,30737,0.443797,0.296678,91196.0
191,0.965,0.846537,0.827347,0.996329,0.656623,0.791569,0.715037,17063,33,4684,8957,0.00193,0.343377,0.99807,30737,0.443797,0.292481,93713.0
192,0.97,0.842372,0.822647,0.996388,0.647167,0.784676,0.707812,17064,32,4813,8828,0.001872,0.352833,0.998128,30737,0.443797,0.288252,96292.0
193,0.975,0.836842,0.816364,0.997118,0.634191,0.775283,0.698418,17071,25,4990,8651,0.001462,0.365809,0.998538,30737,0.443797,0.282266,99825.0
194,0.98,0.830302,0.808989,0.997167,0.619383,0.764131,0.687106,17072,24,5192,8449,0.001404,0.380617,0.998596,30737,0.443797,0.275661,103864.0
195,0.985,0.821388,0.798931,0.997315,0.59915,0.74858,0.67174,17074,22,5468,8173,0.001287,0.40085,0.998713,30737,0.443797,0.266617,109382.0
196,0.99,0.807366,0.783104,0.997679,0.56726,0.723279,0.647653,17078,18,5903,7738,0.001053,0.43274,0.998947,30737,0.443797,0.252334,118078.0
